email_limpo,telefone_limpo,cidade_uf,origem_reserva,grupo_hospedagem,chave_contato,score_completude
acastro@gmail.com,5551938372096,Fortaleza/CE,PROPRIETARIO,,acastro@gmail.com,49
acastro@hotmail.com,5581938340914,Manaus/AM,CHANNELMANAGEROMNIBEES,,acastro@hotmail.com,48
acastro@outlook.com,5541991582802,BrasÃ­lia/DF,CHANNELMANAGEROMNIBEES,,acastro@outlook.com,48
acastro@uol.com.br,5551983057729,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,acastro@uol.com.br,48
acastro@yahoo.com.br,5585957543143,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,acastro@yahoo.com.br,48
acorreia@gmail.com,5581961396531,Manaus/AM,CHANNELMANAGEROMNIBEES,,acorreia@gmail.com,48
acorreia@hotmail.com,5511918394273,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,acorreia@hotmail.com,48
acorreia@outlook.com,5561950077413,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,acorreia@outlook.com,48
acorreia@uol.com.br,5581925159528,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,acorreia@uol.com.br,48
acorreia@yahoo.com.br,5581973049940,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,acorreia@yahoo.com.br,48
aline.castro@gmail.com,5521977158425,BrasÃ­lia/DF,PROPRIETARIO,,aline.castro@gmail.com,48
aline.castro@hotmail.com,5531918500594,SÃ£o LuÃ­s/MA,PROPRIETARIO,,aline.castro@hotmail.com,48
aline.castro@outlook.com,5585971697033,Rio de Janeiro/RJ,CHANNELMANAGEROMNIBEES,,aline.castro@outlook.com,48
aline.castro@uol.com.br,5581937900036,Belo Horizonte/MG,CHANNELMANAGEROMNIBEES,,aline.castro@uol.com.br,48
aline.castro@yahoo.com.br,5551927435411,Rio de Janeiro/RJ,PARTICULAR,,aline.castro@yahoo.com.br,48
aline100@gmail.com,5571993682640,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline100@gmail.com,46
aline103@gmail.com,5562942684271,Rio de Janeiro/RJ,DIRETO,,aline103@gmail.com,44
aline103@yahoo.com.br,5581966782874,Rio de Janeiro/RJ,DIRETO,,aline103@yahoo.com.br,46
aline104@uol.com.br,5571948211361,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline104@uol.com.br,47
aline105@uol.com.br,5551992574726,BelÃ©m/PA,CHANNELMANAGEROMNIBEES,,aline105@uol.com.br,47
aline108@gmail.com,5551912417714,BelÃ©m/PA,DIRETO,,aline108@gmail.com,45
aline108@hotmail.com,5581995437229,BelÃ©m/PA,CHANNELMANAGEROMNIBEES,,aline108@hotmail.com,46
aline109@outlook.com,5562947895485,Manaus/AM,CHANNELMANAGEROMNIBEES,,aline109@outlook.com,47
aline111@yahoo.com.br,5581913180171,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline111@yahoo.com.br,48
aline113@gmail.com,5581939697336,Curitiba/PR,CHANNELMANAGEROMNIBEES,,aline113@gmail.com,45
aline117@outlook.com,5585969698360,BrasÃ­lia/DF,DIRETO,,aline117@outlook.com,45
aline119@hotmail.com,5531936664531,GoiÃ¢nia/GO,PROPRIETARIO,,aline119@hotmail.com,46
aline11@uol.com.br,5541915369640,Porto Alegre/RS,CHANNELMANAGEROMNIBEES,,aline11@uol.com.br,46
aline120@hotmail.com,5562954324131,Fortaleza/CE,CHANNELMANAGEROMNIBEES,,aline120@hotmail.com,47
aline123@yahoo.com.br,5581951064304,Natal/RN,DIRETO,,aline123@yahoo.com.br,46
aline127@yahoo.com.br,5541932895532,Manaus/AM,DIRETO,,aline127@yahoo.com.br,45
aline131@outlook.com,5531914475536,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline131@outlook.com,46
aline133@outlook.com,5571977855270,Campinas/SP,CHANNELMANAGEROMNIBEES,,aline133@outlook.com,47
aline134@yahoo.com.br,5551966757209,SÃ£o LuÃ­s/MA,CHANNELMANAGEROMNIBEES,,aline134@yahoo.com.br,47
aline139@outlook.com,5511943772164,Manaus/AM,PROPRIETARIO,,aline139@outlook.com,46
aline141@yahoo.com.br,5581953353850,Recife/PE,DIRETO,,aline141@yahoo.com.br,43
aline142@outlook.com,5561941522059,SÃ£o Paulo/SP,CHANNELMANAGEROMNIBEES,,aline142@outlook.com,47
aline144@yahoo.com.br,5581990376153,Rio de Janeiro/RJ,INTERNET,,aline144@yahoo.com.br,46
aline147@hotmail.com,5581975049106,Manaus/AM,CHANNELMANAGEROMNIBEES,,aline147@hotmail.com,47
aline148@gmail.com,5521949303188,Natal/RN,CHANNELMANAGEROMNIBEES,,aline148@gmail.com,46
aline155@outlook.com,5541916678879,Fortaleza/CE,PARTICULAR,,aline155@outlook.com,46
